transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status,Revenue,Month
23,104,A***** C*******,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2026-04-15,2,UPI,0.25,A*****@yahoo.com,******9548,successful,22500.0,2026-04
24,799,S******** D***,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-05-16,3,Cash,0.25,S*****@gmail.com,******0744,successful,33750.0,2025-05
25,249,A***** H********,102,70000.0,Phone,Electronics,online,Bangalore,2025-08-29,1,Card,0.3,A*****@gmail.com,******5109,successful,49000.0,2025-08
26,149,A***** M****,106,80000.0,Sofa,Furniture,offline,Chennai,2026-01-28,1,Cash,0.05,A*****@outlook.com,******6443,successful,76000.0,2026-01
27,927,B****** S*****,105,45000.0,Tv,Electronics,offline,Chennai,2025-11-13,5,UPI,0.2,B*****@gmail.com,******0514,successful,180000.0,2025-11
28,868,T****** H********,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2025-11-12,1,Card,0.3,T*****@gmail.com,******8386,successful,35000.0,2025-11
29,1,K**** P******,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2025-06-28,2,Card,0.3,K*****@yahoo.com,******6363,successful,91000.0,2025-06
30,980,A***** A******,106,80000.0,Sofa,Furniture,online,Delhi,2025-07-10,5,Card,0.05,A*****@gmail.com,******3841,successful,380000.0,2025-07
31,455,M***** W*****,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-06-03,4,NetBanking,0.3,M*****@yahoo.com,******4087,successful,140000.0,2025-06
32,367,J***** T***,105,45000.0,Tv,Electronics,offline,Delhi,2025-11-14,4,Cash,0.4,J*****@outlook.com,******3716,successful,108000.0,2025-11
34,968,K**** D****,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2025-11-09,4,Cash,0.15,K*****@yahoo.com,******4512,successful,170000.0,2025-11
35,390,E**** K*****,110,45000.0,Microwave,Home Appliances,online,Mumbai,2025-05-25,2,Card,0.1,E*****@gmail.com,******7025,successful,81000.0,2025-05
36,528,K**** R********,102,70000.0,Phone,Electronics,offline,Chennai,2025-07-19,2,NetBanking,0.1,K*****@gmail.com,******0493,successful,126000.0,2025-07
37,46,M****** B***,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-07,3,UPI,0.1,M*****@gmail.com,******2449,successful,3510.0,2026-01
38,437,C***** L*****,104,8000.0,Shoes,Clothing,offline,Delhi,2026-01-21,1,Cash,0.25,C*****@outlook.com,******2206,successful,6000.0,2026-01
39,234,K****** T*****,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-01,1,Cash,0.1,K*****@outlook.com,******3410,successful,7200.0,2025-12
40,391,C******** B****,103,1300.0,Shirt,Clothing,offline,Mumbai,2026-08-03,2,NetBanking,0.3,C*****@gmail.com,******7305,successful,1819.9999999999998,2026-08
41,743,D****** D****,103,1300.0,Shirt,Clothing,online,Delhi,2025-12-22,3,NetBanking,0.1,D*****@yahoo.com,******3600,successful,3510.0,2025-12
42,17,D**** H***,105,45000.0,Tv,Electronics,online,Bangalore,2025-07-11,2,Cash,0.3,D*****@outlook.com,******1149,successful,62999.99999999999,2025-07
43,861,T** B****,105,45000.0,Tv,Electronics,offline,Bangalore,2025-05-26,5,Card,0.4,T*****@outlook.com,******1491,successful,135000.0,2025-05
44,213,N**** L**,104,8000.0,Shoes,Clothing,offline,Hyderabad,2025-05-14,3,Card,0.25,N*****@yahoo.com,******7242,successful,18000.0,2025-05
45,220,M**** W*****,104,8000.0,Shoes,Clothing,offline,Bangalore,2025-11-23,4,Cash,0.15,M*****@gmail.com,******5210,successful,27200.0,2025-11
46,463,K**** C***,104,8000.0,Shoes,Clothing,online,Delhi,2025-04-27,5,UPI,0.1,K*****@gmail.com,******4173,successful,36000.0,2025-04
47,429,M****** W****,101,250000.0,Laptop,Electronics,offline,Delhi,2025-08-27,4,NetBanking,0.1,M*****@gmail.com,******3250,successful,900000.0,2025-08
48,222,E**** H********,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-07-11,1,Cash,0.25,E*****@gmail.com,******8256,successful,11250.0,2025-07
49,971,L**** R****,103,1300.0,Shirt,Clothing,offline,Chennai,2025-07-10,5,UPI,0.2,L*****@gmail.com,******5114,successful,5200.0,2025-07
50,670,F******* K****,106,80000.0,Sofa,Furniture,offline,Chennai,2025-05-31,5,UPI,0.15,F*****@yahoo.com,******4911,successful,340000.0,2025-05
51,485,J**** H*****,107,50000.0,Dining Table,Furniture,online,Delhi,2025-07-12,2,Card,0.1,J*****@yahoo.com,******7157,successful,90000.0,2025-07
52,883,C****** D****,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-17,1,Card,0.4,C*****@yahoo.com,******7922,successful,4800.0,2025-07
53,202,A***** R***,103,1300.0,Shirt,Clothing,offline,Delhi,2025-11-03,1,Card,0.15,A*****@yahoo.com,******7299,successful,1105.0,2025-11
54,817,N***** R***,107,50000.0,Dining Table,Furniture,offline,Chennai,2025-07-25,3,Cash,0.25,N*****@gmail.com,******9866,successful,112500.0,2025-07
55,801,B***** B****,104,8000.0,Shoes,Clothing,online,Delhi,2025-10-01,5,UPI,0.3,B*****@gmail.com,******6583,successful,28000.0,2025-10
56,284,E*** R*******,104,8000.0,Shoes,Clothing,offline,Chennai,2026-02-20,2,NetBanking,0.4,E*****@gmail.com,******8578,successful,9600.0,2026-02
57,72,M****** W***,105,45000.0,Tv,Electronics,online,Chennai,2025-12-31,5,Cash,0.2,M*****@gmail.com,******0077,successful,180000.0,2025-12
58,873,T**** B***,101,250000.0,Laptop,Electronics,offline,Hyderabad,2025-10-28,3,UPI,0.15,T*****@outlook.com,******8034,successful,637500.0,2025-10
59,854,D***** D*****,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2025-07-13,3,NetBanking,0.15,D*****@yahoo.com,******2116,successful,38250.0,2025-07
60,874,S***** P****,106,80000.0,Sofa,Furniture,offline,Mumbai,2025-05-20,5,UPI,0.25,S*****@gmail.com,******3067,successful,300000.0,2025-05
61,507,T***** C******,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-23,2,Cash,0.3,T*****@outlook.com,******2264,successful,11200.0,2025-12
62,736,L*** L**,104,8000.0,Shoes,Clothing,offline,Delhi,2025-06-07,4,NetBanking,0.05,L*****@gmail.com,******6221,successful,30400.0,2025-06
63,182,K******* C*****,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2026-02-25,5,NetBanking,0.35,K*****@outlook.com,******9367,successful,162500.0,2026-02
64,341,C*** A*******,110,45000.0,Microwave,Home Appliances,online,Mumbai,2025-12-14,3,NetBanking,0.1,C*****@outlook.com,******9155,successful,121500.0,2025-12
65,937,N***** W****,108,15000.0,Mixer Grinder,Home Appliances,online,Mumbai,2025-04-22,2,NetBanking,0.25,N*****@yahoo.com,******9075,successful,22500.0,2025-04
66,164,S**** S******,104,8000.0,Shoes,Clothing,offline,Chennai,2025-04-16,2,Card,0.3,S*****@gmail.com,******4854,successful,11200.0,2025-04
67,188,A****** O*****,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2026-04-04,3,Cash,0.3,A*****@gmail.com,******7624,successful,136500.0,2026-04
68,603,S**** R*******,104,8000.0,Shoes,Clothing,offline,Chennai,2025-09-30,4,Card,0.15,S*****@gmail.com,******2575,successful,27200.0,2025-09
69,656,A*** W****,104,8000.0,Shoes,Clothing,online,Hyderabad,2025-08-29,1,NetBanking,0.1,A*****@yahoo.com,******8407,successful,7200.0,2025-08
70,687,R***** E******,110,45000.0,Microwave,Home Appliances,offline,Hyderabad,2026-04-05,1,UPI,0.1,R*****@yahoo.com,******9773,successful,40500.0,2026-04
71,186,D*** G******,105,45000.0,Tv,Electronics,offline,Chennai,2026-01-23,2,Card,0.3,D*****@gmail.com,******0201,successful,62999.99999999999,2026-01
72,865,J****** P********,102,70000.0,Phone,Electronics,online,Hyderabad,2026-04-07,1,UPI,0.2,J*****@outlook.com,******0460,successful,56000.0,2026-04
73,523,E**** C****,101,250000.0,Laptop,Electronics,offline,Chennai,2026-03-09,4,Card,0.1,E*****@gmail.com,******9627,successful,900000.0,2026-03
75,729,E******** H***,108,15000.0,Mixer Grinder,Home Appliances,online,Mumbai,2025-08-10,1,NetBanking,0.1,E*****@outlook.com,******9121,successful,13500.0,2025-08
78,874,S***** P****,104,8000.0,Shoes,Clothing,offline,Mumbai,2025-06-11,4,Cash,0.1,S*****@gmail.com,******3067,successful,28800.0,2025-06
79,977,G***** N******,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-16,5,UPI,0.3,G*****@yahoo.com,******0862,successful,244999.99999999997,2025-05
80,735,E******** K***,108,15000.0,Mixer Grinder,Home Appliances,online,Bangalore,2025-06-20,5,Cash,0.05,E*****@yahoo.com,******1868,successful,71250.0,2025-06
81,704,S**** T*****,107,50000.0,Dining Table,Furniture,offline,Chennai,2026-04-14,5,UPI,0.25,S*****@outlook.com,******6032,successful,187500.0,2026-04
82,578,K***** W*****,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-18,4,NetBanking,0.4,K*****@yahoo.com,******9323,successful,600000.0,2025-06
83,11,J**** L******,110,45000.0,Microwave,Home Appliances,online,Delhi,2025-06-28,3,NetBanking,0.2,J*****@gmail.com,******0360,successful,108000.0,2025-06
84,379,A***** S*****,105,45000.0,Tv,Electronics,offline,Mumbai,2025-11-07,5,UPI,0.2,A*****@yahoo.com,******0361,successful,180000.0,2025-11
85,108,A***** V******,101,250000.0,Laptop,Electronics,online,Delhi,2025-08-30,5,Card,0.1,A*****@yahoo.com,******8527,successful,1125000.0,2025-08
86,427,K**** M********,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-09,4,NetBanking,0.05,K*****@outlook.com,******6970,successful,4940.0,2026-01
87,454,L**** P******,102,70000.0,Phone,Electronics,offline,Mumbai,2025-11-04,1,Cash,0.15,L*****@yahoo.com,******5336,successful,59500.0,2025-11
88,975,J********* D****,110,45000.0,Microwave,Home Appliances,online,Hyderabad,2026-02-02,3,Card,0.2,J*****@outlook.com,******0490,successful,108000.0,2026-02
89,992,W****** R***,107,50000.0,Dining Table,Furniture,online,Hyderabad,2025-12-20,5,Cash,0.15,W*****@gmail.com,******0906,successful,212500.0,2025-12
90,439,B**** J****,102,70000.0,Phone,Electronics,offline,Mumbai,2026-03-24,3,Card,0.4,B*****@outlook.com,******7874,successful,126000.0,2026-03
91,645,J***** B*****,102,70000.0,Phone,Electronics,offline,Mumbai,2026-01-05,1,Cash,0.4,J*****@outlook.com,******6788,successful,42000.0,2026-01
92,728,L*** M*****,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2026-03-28,1,NetBanking,0.05,L*****@gmail.com,******3795,successful,14250.0,2026-03
93,403,T***** E******,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,5,UPI,0.15,T*****@gmail.com,******9832,successful,297500.0,2025-12
94,50,S***** H********,104,8000.0,Shoes,Clothing,online,Mumbai,2025-02-11,4,Cash,0.25,S*****@gmail.com,******2385,successful,24000.0,2025-02
95,478,C****** M****,107,50000.0,Dining Table,Furniture,online,Mumbai,2025-07-18,1,Cash,0.4,C*****@outlook.com,******1187,successful,30000.0,2025-07
96,153,S******** H****,110,45000.0,Microwave,Home Appliances,offline,Hyderabad,2025-12-27,1,Card,0.15,S*****@outlook.com,******8701,successful,38250.0,2025-12
98,372,B****** G*****,105,45000.0,Tv,Electronics,offline,Mumbai,2025-10-31,5,UPI,0.15,B*****@gmail.com,******1702,successful,191250.0,2025-10
99,753,K**** B***,102,70000.0,Phone,Electronics,online,Delhi,2025-10-07,3,Card,0.15,K*****@gmail.com,******2869,successful,178500.0,2025-10
100,864,C****** B****,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-04-20,1,UPI,0.15,C*****@yahoo.com,******9477,successful,55250.0,2025-04
101,645,J***** B*****,102,70000.0,Phone,Electronics,online,Mumbai,2026-02-19,1,Card,0.25,J*****@outlook.com,******6788,successful,52500.0,2026-02
102,1000,S****** H****,103,1300.0,Shirt,Clothing,online,Bangalore,2025-05-30,3,NetBanking,0.15,S*****@gmail.com,******6701,successful,3315.0,2025-05
103,909,J********* F***,105,45000.0,Tv,Electronics,online,Chennai,2025-09-05,3,Cash,0.35,J*****@gmail.com,******2895,successful,87750.0,2025-09
104,788,W****** W*****,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-06-30,2,UPI,0.15,W*****@gmail.com,******5393,successful,85000.0,2025-06
105,713,J**** G******,107,50000.0,Dining Table,Furniture,online,Hyderabad,2026-02-26,1,NetBanking,0.05,J*****@gmail.com,******8007,successful,47500.0,2026-02
106,54,J****** H********,105,45000.0,Tv,Electronics,offline,Hyderabad,2026-02-27,2,Card,0.05,J*****@outlook.com,******1854,successful,85500.0,2026-02
107,89,J***** D****,106,80000.0,Sofa,Furniture,offline,Hyderabad,2025-03-09,4,UPI,0.35,J*****@yahoo.com,******8548,successful,208000.0,2025-03
108,724,K******* W******,103,1300.0,Shirt,Clothing,offline,Chennai,2025-06-22,4,Card,0.35,K*****@gmail.com,******1493,successful,3380.0,2025-06
109,128,E**** P*****,104,8000.0,Shoes,Clothing,online,Bangalore,2026-02-03,3,Card,0.2,E*****@yahoo.com,******4264,successful,19200.0,2026-02
110,264,K**** J******,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-08-25,2,Cash,0.2,K*****@gmail.com,******6731,successful,80000.0,2025-08
111,637,K**** K***,106,80000.0,Sofa,Furniture,online,Bangalore,2026-02-18,5,Cash,0.1,K*****@yahoo.com,******5430,successful,360000.0,2026-02
112,381,M****** G****,102,70000.0,Phone,Electronics,offline,Hyderabad,2025-09-14,1,Cash,0.15,M*****@gmail.com,******4306,successful,59500.0,2025-09
113,286,C***** S******,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2026-01-12,4,NetBanking,0.4,C*****@gmail.com,******0019,successful,36000.0,2026-01
114,484,E*** C******,101,250000.0,Laptop,Electronics,online,Bangalore,2025-04-07,3,NetBanking,0.25,E*****@gmail.com,******8733,successful,562500.0,2025-04
115,270,K******** S***,107,50000.0,Dining Table,Furniture,online,Chennai,2025-12-16,1,Card,0.1,K*****@yahoo.com,******7908,successful,45000.0,2025-12
116,756,J*** M***,103,1300.0,Shirt,Clothing,online,Bangalore,2025-11-22,4,NetBanking,0.2,J*****@yahoo.com,******4818,successful,4160.0,2025-11
117,937,N***** W****,107,50000.0,Dining Table,Furniture,online,Mumbai,2025-07-28,4,NetBanking,0.35,N*****@yahoo.com,******9075,successful,130000.0,2025-07
118,206,K**** C**,105,45000.0,Tv,Electronics,online,Chennai,2025-04-18,1,UPI,0.4,K*****@outlook.com,******5408,successful,27000.0,2025-04
119,822,C******** R*****,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-02-24,2,NetBanking,0.25,C*****@yahoo.com,******6621,successful,375000.0,2026-02
120,618,A*** T*****,110,45000.0,Microwave,Home Appliances,offline,Chennai,2025-09-23,5,Card,0.25,A*****@yahoo.com,******3305,successful,168750.0,2025-09
121,175,S***** C****,109,65000.0,Refrigerator,Home Appliances,offline,Hyderabad,2025-05-30,1,Card,0.25,S*****@gmail.com,******1133,successful,48750.0,2025-05
122,549,J**** H******,102,70000.0,Phone,Electronics,online,Bangalore,2025-05-17,4,Cash,0.15,J*****@gmail.com,******6590,successful,238000.0,2025-05
123,387,K****** R****,110,45000.0,Microwave,Home Appliances,offline,Mumbai,2025-06-30,5,UPI,0.3,K*****@outlook.com,******3283,successful,157500.0,2025-06
124,592,T****** M*****,104,8000.0,Shoes,Clothing,offline,Delhi,2026-03-04,3,Card,0.35,T*****@gmail.com,******8501,successful,15600.0,2026-03
125,580,M******* W*****,107,50000.0,Dining Table,Furniture,offline,Chennai,2025-10-13,2,Card,0.25,M*****@yahoo.com,******7146,successful,75000.0,2025-10
126,17,D**** H***,101,250000.0,Laptop,Electronics,online,Bangalore,2026-02-25,1,Card,0.15,D*****@outlook.com,******1149,successful,212500.0,2026-02
127,115,L**** G*****,101,250000.0,Laptop,Electronics,online,Chennai,2026-03-24,1,UPI,0.4,L*****@gmail.com,******1568,successful,150000.0,2026-03
128,710,A**** M****,101,250000.0,Laptop,Electronics,offline,Mumbai,2025-07-22,3,Cash,0.3,A*****@gmail.com,******1176,successful,525000.0,2025-07
129,150,D***** B******,104,8000.0,Shoes,Clothing,offline,Mumbai,2026-01-17,5,Cash,0.4,D*****@gmail.com,******9420,successful,24000.0,2026-01
130,149,A***** M****,103,1300.0,Shirt,Clothing,online,Chennai,2025-11-23,1,Card,0.15,A*****@outlook.com,******6443,successful,1105.0,2025-11
131,274,J***** P*****,107,50000.0,Dining Table,Furniture,online,Bangalore,2026-01-06,1,UPI,0.15,J*****@gmail.com,******9206,successful,42500.0,2026-01
132,173,J***** S****,109,65000.0,Refrigerator,Home Appliances,online,Delhi,2025-06-07,2,UPI,0.4,J*****@outlook.com,******7378,successful,78000.0,2025-06
134,702,R***** J******,108,15000.0,Mixer Grinder,Home Appliances,online,Delhi,2025-09-30,1,UPI,0.05,R*****@gmail.com,******6138,successful,14250.0,2025-09
135,362,D**** W****,101,250000.0,Laptop,Electronics,offline,Bangalore,2025-11-25,5,Cash,0.2,D*****@yahoo.com,******9722,successful,1000000.0,2025-11
136,863,T***** M*****,101,250000.0,Laptop,Electronics,online,Bangalore,2025-05-24,1,Card,0.15,T*****@gmail.com,******4457,successful,212500.0,2025-05
137,38,L**** S******,103,1300.0,Shirt,Clothing,online,Bangalore,2026-02-08,4,Card,0.05,L*****@gmail.com,******7405,successful,4940.0,2026-02
138,432,C****** N*****,103,1300.0,Shirt,Clothing,offline,Mumbai,2026-02-22,4,NetBanking,0.4,C*****@yahoo.com,******1774,successful,3120.0,2026-02
139,907,J****** M*****,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2026-02-17,4,NetBanking,0.05,J*****@gmail.com,******4650,successful,247000.0,2026-02
140,400,B***** J******,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-09,4,NetBanking,0.1,B*****@yahoo.com,******8393,successful,900000.0,2025-06
141,180,C****** M****,103,1300.0,Shirt,Clothing,online,Bangalore,2025-11-07,4,Card,0.1,C*****@yahoo.com,******6560,successful,4680.0,2025-11
142,137,K******* D******,107,50000.0,Dining Table,Furniture,online,Mumbai,2025-09-26,1,Cash,0.15,K*****@yahoo.com,******6544,successful,42500.0,2025-09
143,313,M*** L***,107,50000.0,Dining Table,Furniture,offline,Delhi,2026-12-04,3,UPI,0.35,M*****@outlook.com,******2640,successful,97500.0,2026-12
144,718,R****** M****,103,1300.0,Shirt,Clothing,online,Delhi,2026-03-21,2,Card,0.1,R*****@outlook.com,******1168,successful,2340.0,2026-03
145,975,J********* D****,109,65000.0,Refrigerator,Home Appliances,offline,Hyderabad,2026-01-12,3,Card,0.1,J*****@outlook.com,******0490,successful,175500.0,2026-01
146,311,J*** M*****,103,1300.0,Shirt,Clothing,offline,Bangalore,2025-10-29,2,NetBanking,0.1,J*****@yahoo.com,******7160,successful,2340.0,2025-10
147,111,A***** M*******,107,50000.0,Dining Table,Furniture,online,Hyderabad,2025-09-08,4,Card,0.35,A*****@gmail.com,******2386,successful,130000.0,2025-09
148,139,M****** P*******,104,8000.0,Shoes,Clothing,offline,Mumbai,2025-07-09,3,NetBanking,0.25,M*****@outlook.com,******2133,successful,18000.0,2025-07
149,644,J*** P******,102,70000.0,Phone,Electronics,offline,Delhi,2026-04-04,4,Card,0.2,J*****@gmail.com,******7481,successful,224000.0,2026-04
150,917,A********* M****,105,45000.0,Tv,Electronics,online,Hyderabad,2025-04-11,2,Cash,0.4,A*****@gmail.com,******3519,successful,54000.0,2025-04
151,294,J**** M*****,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-04-01,1,NetBanking,0.4,J*****@gmail.com,******7809,successful,150000.0,2026-04
152,171,M****** C*****,105,45000.0,Tv,Electronics,online,Hyderabad,2025-06-26,1,NetBanking,0.3,M*****@gmail.com,******4681,successful,31499.999999999996,2025-06
153,1,K**** P******,108,15000.0,Mixer Grinder,Home Appliances,offline,Hyderabad,2026-04-10,3,NetBanking,0.15,K*****@yahoo.com,******6363,successful,38250.0,2026-04
154,835,J*** W******,102,70000.0,Phone,Electronics,online,Delhi,2026-01-31,4,UPI,0.3,J*****@outlook.com,******2580,successful,196000.0,2026-01
155,363,L****** T*****,105,45000.0,Tv,Electronics,online,Delhi,2025-06-07,3,Card,0.1,L*****@gmail.com,******0472,successful,121500.0,2025-06
156,334,B***** G*******,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-05-11,5,Card,0.3,B*****@gmail.com,******1783,successful,227500.0,2025-05
157,39,M**** J****,102,70000.0,Phone,Electronics,online,Hyderabad,2026-01-03,1,UPI,0.25,M*****@gmail.com,******0686,successful,52500.0,2026-01
158,892,L**** H****,110,45000.0,Microwave,Home Appliances,offline,Mumbai,2026-02-17,4,Card,0.15,L*****@yahoo.com,******0803,successful,153000.0,2026-02
159,570,D***** C*****,103,1300.0,Shirt,Clothing,offline,Chennai,2025-05-08,1,Cash,0.2,D*****@gmail.com,******0219,successful,1040.0,2025-05
160,152,L*** L***,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-06-06,3,Cash,0.15,L*****@gmail.com,******3306,successful,165750.0,2025-06
161,944,J**** R********,104,8000.0,Shoes,Clothing,offline,Delhi,2025-08-29,3,Cash,0.1,J*****@yahoo.com,******0779,successful,21600.0,2025-08
162,197,G****** M****,103,1300.0,Shirt,Clothing,online,Mumbai,2025-11-15,5,NetBanking,0.25,G*****@gmail.com,******4137,successful,4875.0,2025-11
163,256,N***** W*******,104,8000.0,Shoes,Clothing,offline,Chennai,2025-10-08,2,NetBanking,0.15,N*****@gmail.com,******1732,successful,13600.0,2025-10
164,993,J**** W***,109,65000.0,Refrigerator,Home Appliances,online,Bangalore,2025-04-21,2,Card,0.2,J*****@outlook.com,******9325,successful,104000.0,2025-04
165,525,L**** B******,106,80000.0,Sofa,Furniture,offline,Bangalore,2025-08-09,1,Cash,0.05,L*****@gmail.com,******1400,successful,76000.0,2025-08
166,976,P**** R*****,101,250000.0,Laptop,Electronics,offline,Chennai,2025-11-13,5,UPI,0.25,P*****@gmail.com,******1725,successful,937500.0,2025-11
167,820,M*** G******,103,1300.0,Shirt,Clothing,online,Delhi,2026-03-09,3,Card,0.2,M*****@yahoo.com,******9201,successful,3120.0,2026-03
168,92,K**** C****,101,250000.0,Laptop,Electronics,offline,Chennai,2025-06-03,5,Card,0.25,K*****@yahoo.com,******9379,successful,937500.0,2025-06
169,721,R***** V****,102,70000.0,Phone,Electronics,online,Mumbai,2025-10-31,5,Cash,0.35,R*****@yahoo.com,******1453,successful,227500.0,2025-10
170,893,T***** W*****,110,45000.0,Microwave,Home Appliances,online,Delhi,2025-04-29,4,UPI,0.2,T*****@outlook.com,******5386,successful,144000.0,2025-04
171,871,J*** H***,102,70000.0,Phone,Electronics,online,Chennai,2026-01-20,3,UPI,0.2,J*****@gmail.com,******5629,successful,168000.0,2026-01
172,5,K******* O****,103,1300.0,Shirt,Clothing,online,Hyderabad,2025-04-16,5,Cash,0.3,K*****@gmail.com,******9805,successful,4550.0,2025-04
173,368,E**** S****,107,50000.0,Dining Table,Furniture,offline,Mumbai,2026-02-20,4,Card,0.3,E*****@yahoo.com,******9634,successful,140000.0,2026-02
174,97,J***** N****,105,45000.0,Tv,Electronics,online,Bangalore,2025-10-09,2,NetBanking,0.4,J*****@outlook.com,******3593,successful,54000.0,2025-10
175,22,J**** W******,110,45000.0,Microwave,Home Appliances,online,Chennai,2025-09-13,5,Cash,0.05,J*****@gmail.com,******4842,successful,213750.0,2025-09
176,260,C****** F*****,107,50000.0,Dining Table,Furniture,offline,Chennai,2025-09-20,5,Cash,0.4,C*****@gmail.com,******5111,successful,150000.0,2025-09
177,164,S**** S******,107,50000.0,Dining Table,Furniture,online,Chennai,2025-09-04,4,Card,0.05,S*****@gmail.com,******4854,successful,190000.0,2025-09
